,category,name,subs_last30d_count,views_last30d_count
129,,Crime Patrol Dehati,358331 ,98770500
130,Education,Prachin Rahasya,227127 ,75057000
131,News,The Lallantop,723449 ,119729100
132,,CON HEO DAT TV,0 ,5100600
133,News,Inside Edition,178151 ,156897900
134,,Hola Niño,568771 ,115963200
135,Music,ShawnMendesVEVO,-39399 ,121353900
136,Music,Coldplay,207949 ,134634000
137,Comedy,Jkk Entertainment,437358 ,129549300
138,Music,Ariana Grande`,2032169 ,134277000
139,,حِرف إبداعية في 5 دقائق,632531 ,142404600
140,People,BuzzFeedVideo,142229 ,133137300
141,Entertainment,Surya Citra Televisi (SCTV),269732 ,109527828
142,Music,JustinBieberVEVO,-95323 ,120581400
143,Entertainment,RedeTV,181229 ,129256800
144,News,CNN,199784 ,115875300
145,Entertainment,GMA Public Affairs,267427 ,141159000
146,,Primitive Technology KH,450256 ,116214000
147,Entertainment,HAR PAL GEO,310827 ,-140158214
148,Howto,ToysPlay,188649 ,110311500
149,Games,Lachlan,478882 ,131617200
150,Music,TikTok,1939 ,80514300
151,News,AMARIN TVHD,179941 ,149584200
152,Entertainment,Bizim Hikaye,190918 ,135232800
153,Entertainment,Susi kids TV,154425 ,103678800
154,Shows,Sony PAL,240909 ,113865900
155,Entertainment,Haryanvi Maina,243175 ,134565000
156,Entertainment,StarPlus,400036 ,122042100
157,Games,DanTDM,160952 ,174923700
158,Games,VanossGaming,115435 ,124654800
159,Film,Totoykids,303978 ,129101100
160,Music,CNCOVEVO,-25708 ,137180700
161,,rayane toys for kids,573222 ,120720000
162,Entertainment,"Kids, Toys & Adventures",262866  ,127910700
163,Entertainment,MBCentertainment,140347 ,111339000
164,Music,Mor Haryanvi,253850 ,111116100
165,Games,TheGrefg,354239 ,102508800
166,Games,iGAMING TV,348648 ,117714300
167,Entertainment,Magic Club,0 ,38146200
168,Entertainment,Stephen Sharer,343567 ,128485200
169,Games,VEGETTA777,368165 ,114379800
170,Film,Peppa Pig - Official Channel,289337 ,142816200
171,Entertainment,DIEN QUAN Comedy / Hài,251439 ,118411500
172,,Janta Films Pvt.Ltd.,101544 ,83811300
173,Music,HD Songs Bollywood,152477 ,65266200
174,Film,Riki MUSIC,495852 ,114679500
175,Entertainment,Reliance Entertainment,240693 ,65131800
176,Film,Jingle Toons,357535 ,114477600
177,Music,HalseyVEVO,-15432 ,41270400
178,Music,TaylorSwiftVEVO,-89956 ,117790200
179,,Alex 366,155588 ,68801700
180,Entertainment,Caso Cerrado,232632 ,132072300
181,Music,Meek Mill,172813 ,90184800
